,0,1,2
0,"{'id': '4QSrwMWk6i77PDfBbV-uag', 'url': 'https://www.yelp.com/biz/taste-of-india-flanders?adjust_creative=istl9jgw2i0Hp64EIdomvQ&hrid=4QSrwMWk6i77PDfBbV-uag&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=istl9jgw2i0Hp64EIdomvQ', 'text': 'I have been trying to convince my wife to try this place for years and now I finally got here with high expectations that were met!\n\nFood: as an appetizer...', 'rating': 5, 'time_created': '2024-11-07 21:05:33', 'user': {'id': '-VCKR3UOhHaPL23us6ak_Q', 'profile_url': 'https://www.yelp.com/user_details?userid=-VCKR3UOhHaPL23us6ak_Q', 'image_url': 'https://s3-media3.fl.yelpcdn.com/photo/1k77yDxw3yw33Whx88E5Dg/o.jpg', 'name': 'Casey S.'}}","{'id': 'mzFJK-IJ1gJloTye_5jwsQ', 'url': 'https://www.yelp.com/biz/taste-of-india-flanders?adjust_creative=istl9jgw2i0Hp64EIdomvQ&hrid=mzFJK-IJ1gJloTye_5jwsQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=istl9jgw2i0Hp64EIdomvQ', 'text': 'We have been eating here for many, many years. \n\nWe were so happy that they survived the Covidslowdown. \n\nThe owners are fantastic, the service is...', 'rating': 5, 'time_created': '2024-07-12 08:46:39', 'user': {'id': 'z02SuekMKqgG08YBbnGLfA', 'profile_url': 'https://www.yelp.com/user_details?userid=z02SuekMKqgG08YBbnGLfA', 'image_url': 'https://s3-media1.fl.yelpcdn.com/photo/z3VEkpndaAQsnLdAFgV21A/o.jpg', 'name': 'Rich D.'}}","{'id': 'JndN6ss6p0LJSshFIweQrA', 'url': 'https://www.yelp.com/biz/taste-of-india-flanders?adjust_creative=istl9jgw2i0Hp64EIdomvQ&hrid=JndN6ss6p0LJSshFIweQrA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=istl9jgw2i0Hp64EIdomvQ', 'text': 'We have once again returned to enjoy the Taste of India in Flanders. The chef owner takes joy in describing his dishes, even better he executes the dish...', 'rating': 5, 'time_created': '2024-07-08 13:06:33', 'user': {'id': 'xQEGZ0pI3H-jfv6CObrErw', 'profile_url': 'https://www.yelp.com/user_details?userid=xQEGZ0pI3H-jfv6CObrErw', 'image_url': 'https://s3-media2.fl.yelpcdn.com/photo/6jzcRGmeCvkDyjiZvBeKTQ/o.jpg', 'name': 'Gerry R.'}}"
1,"{'id': '2V4KALa3jSHAg_aH2gYB6A', 'url': 'https://www.yelp.com/biz/the-clay-oven-indian-restaurant-ledgewood?adjust_creative=istl9jgw2i0Hp64EIdomvQ&hrid=2V4KALa3jSHAg_aH2gYB6A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=istl9jgw2i0Hp64EIdomvQ', 'text': 'We went to the Clay Oven tonight and it did not disappoint and honestly it never does. The food the service and the atmosphere are always Top Notch. The...', 'rating': 5, 'time_created': '2024-09-15 17:37:19', 'user': {'id': 'kqayN1JU9bwR00Ne2HRs2A', 'profile_url': 'https://www.yelp.com/user_details?userid=kqayN1JU9bwR00Ne2HRs2A', 'image_url': None, 'name': 'Dawn C.'}}","{'id': 'tzKaMT1xXi3nuNe3aYAeNg', 'url': 'https://www.yelp.com/biz/the-clay-oven-indian-restaurant-ledgewood?adjust_creative=istl9jgw2i0Hp64EIdomvQ&hrid=tzKaMT1xXi3nuNe3aYAeNg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=istl9jgw2i0Hp64EIdomvQ', 'text': 'Authentic Indian food with great service. However, it is on the pricey side. \nI wish they would bring back their lunch buffet.', 'rating': 4, 'time_created': '2024-04-23 19:33:17', 'user': {'id': 'NDBmWgFSp6D6f329ImPbPg', 'profile_url': 'https://www.yelp.com/user_details?userid=NDBmWgFSp6D6f329ImPbPg', 'image_url': 'https://s3-media2.fl.yelpcdn.com/photo/tuZmvTT_1d4turbOeNB-UA/o.jpg', 'name': 'SnikDeb C.'}}","{'id': '_0DzsKyxZg4fcDHx4_q5cw', 'url': 'https://www.yelp.com/biz/the-clay-oven-indian-restaurant-ledgewood?adjust_creative=istl9jgw2i0Hp64EIdomvQ&hrid=_0DzsKyxZg4fcDHx4_q5cw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=istl9jgw2i0Hp64EIdomvQ', 'text': 'I have driven by many times before today...so my wife and I finally go in there for a date night. \n\nThe restaurant is not large but they have plenty of...', 'rating': 5, 'time_created': '2023-07-30 22:38:21', 'user': {'id': 'Nq2dS8Hknm3brt2YmqGmcA', 'profile_url': 'https://www.yelp.com/user_details?userid=Nq2dS8Hknm3brt2YmqGmcA', 'image_url': 'https://s3-media2.fl.yelpcdn.com/photo/zp0HPw5fo7SuMSK6mqBQmw/o.jpg', 'name': 'George G.'}}"
2,"{'id': 'KFpeEN769zMeBTuVZJ3HiQ', 'url': 'https://www.yelp.com/biz/cinnamon-morris-plains?adjust_creative=istl9jgw2i0Hp64EIdomvQ&hrid=KFpeEN769zMeBTuVZJ3HiQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=istl9jgw2i0Hp64EIdomvQ', 'text': 'Cinamon is our go to restaurant. Amazing tasty and delicious food . Especially kheer their Indian dessert is yummy.', 'rating': 5, 'time_created': '2024-10-23 11:41:47', 'user': {'id': '-KaUlorlI3kUL66g09KZcw', 'profile_url': 'https://www.yelp.com/user_details?userid=-KaUlorlI3kUL66g09KZcw', 'image_url': None, 'name': 'Lavanya K.'}}","{'id': 'jmj12WTqYHFSk2sm6GiV9A', 'url': 'https://www.yelp.com/biz/cinnamon-morris-plains?adjust_creative=istl9jgw2i0Hp64EIdomvQ&hrid=jmj12WTqYHFSk2sm6GiV9A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=istl9jgw2i0Hp64EIdomvQ', 'text': 'Great place for a lunch buffet\n\nAll the Indian favorites are there and they were able to accommodate a six top for a working lunch.\n\nThe food, laid out as...', 'rating': 5, 'time_created': '2024-10-24 08:28:42', 'user': {'id': 'z02SuekMKqgG08YBbnGLfA', 'profile_url': 'https://www.yelp.com/user_details?userid=z02SuekMKqgG08YBbnGLfA', 'image_url': 'https://s3-media1.fl.yelpcdn.com/photo/z3VEkpndaAQsnLdAFgV21A/o.jpg', 'name': 'Rich D.'}}","{'id': 'ygNvRFR4qfhbkt8v-yurKQ', 'url': 'https://www.yelp.com/biz/cinnamon-morris-plains?adjust_creative=istl9jgw2i0Hp64EIdomvQ&hrid=ygNvRFR4qfhbkt8v-yurKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=istl9jgw2i0Hp64EIdomvQ', 'text': 'I love this place! Wonderful food at a modest price. Two entrees and an app typically $46. \n\nNow they have a Sunday night bottomless buffet. Ridiculous...', 'rating': 5, 'time_created': '2024-10-06 15:35:28', 'user': {'id': '36-u6lUZ_6FF1CEtVn2eew', 'profile_url': 'https://www.yelp.com/user_details?userid=36-u6lUZ_6FF1CEtVn2eew', 'image_url': 'https://s3-media4.fl.yelpcdn.com/photo/_MebPaTGoA_pFGc_DStiUA/o.jpg', 'name': 'Randall T.'}}"
3,"{'id': 'x4yRifM3onghnTQqwIkhaQ', 'url': 'https://www.yelp.com/biz/chakra-indian-cuisine-morristown?adjust_creative=istl9jgw2i0Hp64EIdomvQ&hrid=x4yRifM3onghnTQqwIkhaQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=istl9jgw2i0Hp64EIdomvQ', 'text': ""My wife and I stoped by for dinner before a concert. We ordered bhindi masala (spicy) and veg korma. Both were excellent -- if we didn't have to run I would..."", 'rating': 5, 'time_created': '2024-11-14 10:53:07', 'user': {'id': 'Bob2OQm7ICYvTig01URx1A', 'profile_url': 'https://www.yelp.com/user_details?userid=Bob2OQm7ICYvTig01URx1A', 'image_url': 'https://s3-media3.fl.yelpcdn.com/photo/I5_Fqu6kPH_WwrInJcVrNw/o.jpg', 'name': 'Greg S.'}}","{'id': 'vrmiTtkOa9JHJtJX6gSafw', 'url': 'https://www.yelp.com/biz/chakra-indian-cuisine-morristown?adjust_creative=istl9jgw2i0Hp64EIdomvQ&hrid=vrmiTtkOa9JHJtJX6gSafw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=istl9jgw2i0Hp64EIdomvQ', 'text': 'Excellent food and amazing service. This was our first time trying Indian cuisine and we went on a recommendation from a friend . This place exceeded my...', 'rating': 5, 'time_created': '2024-11-23 07:43:56', 'user': {'id': 'WjaY8QCO8YgWNgkZJqpSRg', 'profile_url': 'https://www.yelp.com/user_details?userid=WjaY8QCO8YgWNgkZJqpSRg', 'image_url': 'https://s3-media2.fl.yelpcdn.com/photo/GwHxVagQHAnSu2slnVZ5gw/o.jpg', 'name': 'Racheal T.'}}","{'id': 'es3WG_hxh44oyjcSawYFbQ', 'url': 'https://www.yelp.com/biz/chakra-indian-cuisine-morristown?adjust_creative=istl9jgw2i0Hp64EIdomvQ&hrid=es3WG_hxh44oyjcSawYFbQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=istl9jgw2i0Hp64EIdomvQ', 'text': ""New Indian spot in Morristown hits. Traditional flavors executed at a high level that doesn't break the bank and appropriate portion sizes. Well decorated..."", 'rating': 5, 'time_created': '2024-05-12 09:42:31', 'user': {'id': 't3SzVWgdbFEMk1ftnumAVg', 'profile_url': 'https://www.yelp.com/user_details?userid=t3SzVWgdbFEMk1ftnumAVg', 'image_url': 'https://s3-media2.fl.yelpcdn.com/photo/-fNwoHHyGecc3DMlMF3ZUw/o.jpg', 'name': 'Sagar S.'}}"
4,"{'id': 'cE2iCjU7Vi8bbeNm5Jf3DQ', 'url': 'https://www.yelp.com/biz/sangeetha-morris-plains?adjust_creative=istl9jgw2i0Hp64EIdomvQ&hrid=cE2iCjU7Vi8bbeNm5Jf3DQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=istl9jgw2i0Hp64EIdomvQ', 'text': 'We were after dosas and found this place to give a try.  Learned it was still a new restaurant that has not been open that long as well.  We started with...', 'rating': 4, 'time_created': '2023-09-01 16:57:40', 'user': {'id': '080X9AgXWLnZX77XeL4w1w', 'profile_url': 'https://www.yelp.com/user_details?userid=080X9AgXWLnZX77XeL4w1w', 'image_url': 'https://s3-media4.fl.yelpcdn.com/photo/e8gof4gDe_Yc790aBF7_4Q/o.jpg', 'name': 'Ritesh M.'}}","{'id': '4e3QEyTzz0RXqyU6TRH1ZQ', 'url': 'https://www.yelp.com/biz/sangeetha-morris-plains?adjust_creative=istl9jgw2i0Hp64EIdomvQ&hrid=4e3QEyTzz0RXqyU6TRH1ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=istl9jgw2i0Hp64EIdomvQ', 'text': ""Delicious, different, wonderful. Stopped in for lunch and left utterly sated. I chose a South Indian Thali, a vegetarian combination, on the waiter's..."", 'rating': 5, 'time_created': '2024-05-15 19:39:41', 'user': {'id': 'DryS8ulIJ2LkdM5-v-p9iw', 'profile_url': 'https://www.yelp.com/user_details?userid=DryS8ulIJ2LkdM5-v-p9iw', 'image_url': 'https://s3-media3.fl.yelpcdn.com/photo/lmtCHJnbE66vfebK05XZTw/o.jpg', 'name': 'Salomon W.'}}","{'id': 'upDZcJHftofV-qdz4Ae1Gw', 'url': 'https://www.yelp.com/biz/sangeetha-morris-plains?adjust_creative=istl9jgw2i0Hp64EIdomvQ&hrid=upDZcJHftofV-qdz4Ae1Gw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=istl9jgw2i0Hp64EIdomvQ', 'text': 'Good South Indian restaurant in Morris plains. Their South Indian combo is very good  with limited portions and good spread.', 'rating': 4, 'time_created': '2024-10-26 04:15:56', 'user': {'id': 'slNfBAuTNN77AOGOgv9z9g', 'profile_url': 'https://www.yelp.com/user_details?userid=slNfBAuTNN77AOGOgv9z9g', 'image_url': None, 'name': 'Krishna'}}"
5,"{'id': 'euiMCG6izQQiz8qakQPq_A', 'url': 'https://www.yelp.com/biz/house-of-biryanis-and-kebabs-denville?adjust_creative=istl9jgw2i0Hp64EIdomvQ&hrid=euiMCG6izQQiz8qakQPq_A&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=istl9jgw2i0Hp64EIdomvQ', 'text': 'I placed an order this evening for two dishes and was driving quite a distance to pick it up.  While I was driving , I got a call from the restaurant saying...', 'rating': 5, 'time_created': '2024-11-08 16:45:55', 'user': {'id': 'Rqy1__DTqK4VkeJi37dtfA', 'profile_url': 'https://www.yelp.com/user_details?userid=Rqy1__DTqK4VkeJi37dtfA', 'image_url': 'https://s3-media3.fl.yelpcdn.com/photo/Ij469o9ZHJbr_fwhf_iBUA/o.jpg', 'name': 'Mona K.'}}","{'id': 'bzt3qDT7KS3j27vuuPYmoQ', 'url': 'https://www.yelp.com/biz/house-of-biryanis-and-kebabs-denville?adjust_creative=istl9jgw2i0Hp64EIdomvQ&hrid=bzt3qDT7KS3j27vuuPYmoQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=istl9jgw2i0Hp64EIdomvQ', 'text': ""not sure whenever I come here for lunch, most of the time it's not a good experience. I knew they did not have a buffet arrangement and they were serving..."", 'rating': 3, 'time_created': '2024-10-10 16:36:00', 'user': {'id': 'RypJov5pxe_ngrXasj35dg', 'profile_url': 'https://www.yelp.com/user_details?userid=RypJov5pxe_ngrXasj35dg', 'image_url': 'https://s3-media1.fl.yelpcdn.com/photo/ZSeuvqvmMTEJaWc0teAJ8A/o.jpg', 'name': 'Sanjay G.'}}","{'id': 'YCVF4gDS8muT6L_pLlzqrw', 'url': 'https://www.yelp.com/biz/house-of-biryanis-and-kebabs-denville?adjust_creative=istl9jgw2i0Hp64EIdomvQ&hrid=YCVF4gDS8muT6L_pLlzqrw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=istl9jgw2i0Hp64EIdomvQ', 'text': 'food is good but quantity is very small and the price is too high for the quantity and quality. Will not buy from here anymore much better options available...', 'rating': 2, 'time_created': '2024-11-10 06:00:51', 'user': {'id': 'Ga6WKjwilCTlUfnxzoCCqA', 'profile_url': 'https://www.yelp.com/user_details?userid=Ga6WKjwilCTlUfnxzoCCqA', 'image_url': None, 'name': 'Livingston C.'}}"
6,"{'id': 'z7x5O86vfiUdpyuSYpoT5w', 'url': 'https://www.yelp.com/biz/bollywood-grill-2-morris-plains?adjust_creative=istl9jgw2i0Hp64EIdomvQ&hrid=z7x5O86vfiUdpyuSYpoT5w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=istl9jgw2i0Hp64EIdomvQ', 'text': ""Used to be my go-to Indian spot which I'd happily drive half an hour to pick up.  The spice was quite elevated which I loved and the flavors were always..."", 'rating': 4, 'time_created': '2024-06-02 05:11:51', 'user': {'id': 'nuzgayGO9PSf_l7a6Mwh9g', 'profile_url': 'https://www.yelp.com/user_details?userid=nuzgayGO9PSf_l7a6Mwh9g', 'image_url': None, 'name': 'E J.'}}","{'id': 'y9NZ7w29_TucclqKwloDwQ', 'url': 'https://www.yelp.com/biz/bollywood-grill-2-morris-plains?adjust_creative=istl9jgw2i0Hp64EIdomvQ&hrid=y9NZ7w29_TucclqKwloDwQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=istl9jgw2i0Hp64EIdomvQ', 'text': 'PANEER SANDWICH. Literally every single time I come home from the city, I order a paneer sandwich. The sandwich, pao bhaji, bhel, pani puri, paneer tikka...', 'rating': 5, 'time_created': '2023-03-17 18:14:49', 'user': {'id': '29N9BK87xGpXFA_5DRpYWQ', 'profile_url': 'https://www.yelp.com/user_details?userid=29N9BK87xGpXFA_5DRpYWQ', 'image_url': 'https://s3-media2.fl.yelpcdn.com/photo/B-KkDNvkSNhbHPs5obswJQ/o.jpg', 'name': 'Neha P.'}}","{'id': 'b_EVXRNRGjFVMoV7w1Y5hA', 'url': 'https://www.yelp.com/biz/bollywood-grill-2-morris-plains?adjust_creative=istl9jgw2i0Hp64EIdomvQ&hrid=b_EVXRNRGjFVMoV7w1Y5hA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=istl9jgw2i0Hp64EIdomvQ', 'text': ""So we've been ordering from this place with my work collogues for quite some time.  Although the price is high, we enjoyed their Kati rolls.  So today I..."", 'rating': 1, 'time_created': '2022-09-28 10:31:56', 'user': {'id': 'rdt_vY0QtbnWIhBB1Tsvqg', 'profile_url': 'https://www.yelp.com/user_details?userid=rdt_vY0QtbnWIhBB1Tsvqg', 'image_url': 'https://s3-media3.fl.yelpcdn.com/photo/sxCoj3cFSq7e7zwVDp9BCQ/o.jpg', 'name': 'Dhaval P.'}}"
7,"{'id': 'sq1LBzwEQyqKyafOOWchcw', 'url': 'https://www.yelp.com/biz/sankalp-the-taste-of-india-cedar-knolls?adjust_creative=istl9jgw2i0Hp64EIdomvQ&hrid=sq1LBzwEQyqKyafOOWchcw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=istl9jgw2i0Hp64EIdomvQ', 'text': ""I recently dined at this new Indian restaurant Sankalp and it turned out to be an excellent culinary experience, especially if you're a fan of North Indian..."", 'rating': 4, 'time_created': '2024-11-24 18:41:54', 'user': {'id': '4T9saIShMW0Tiauh5eOoBA', 'profile_url': 'https://www.yelp.com/user_details?userid=4T9saIShMW0Tiauh5eOoBA', 'image_url': 'https://s3-media4.fl.yelpcdn.com/photo/D8-lVk1RQPPAapzVHvJCzg/o.jpg', 'name': 'Kiran Y.'}}","{'id': 'Iea7ZfQP6zMV5D2X6SAF7w', 'url': 'https://www.yelp.com/biz/sankalp-the-taste-of-india-cedar-knolls?adjust_creative=istl9jgw2i0Hp64EIdomvQ&hrid=Iea7ZfQP6zMV5D2X6SAF7w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=istl9jgw2i0Hp64EIdomvQ', 'text': 'Had this today for the first time when I found it on DoorDash. I had a craving for some Indian and it was delicious.\n\nI chose to have the butter chicken,...', 'rating': 4, 'time_created': '2024-08-12 09:19:50', 'user': {'id': 'SjAK2Ll0juRzPFXBPb8MKA', 'profile_url': 'https://www.yelp.com/user_details?userid=SjAK2Ll0juRzPFXBPb8MKA', 'image_url': 'https://s3-media2.fl.yelpcdn.com/photo/VpJ7gwOV3U7SzJ0pl3QKFQ/o.jpg', 'name': 'Dominic D.'}}","{'id': 'WYDRBLQP0xYMifm8vC43mw', 'url': 'https://www.yelp.com/biz/sankalp-the-taste-of-india-cedar-knolls?adjust_creative=istl9jgw2i0Hp64EIdomvQ&hrid=WYDRBLQP0xYMifm8vC43mw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=istl9jgw2i0Hp64EIdomvQ', 'text': 'The enchanting world of South Indian flavors at this remarkable restaurant, where every visit promises an extraordinary culinary adventure. The moment you...', 'rating': 4, 'time_created': '2024-03-30 09:30:38', 'user': {'id': 'vpbrvgtJbzbmwtVXWucpGw', 'profile_url': 'https://www.yelp.com/user_details?userid=vpbrvgtJbzbmwtVXWucpGw', 'image_url': 'https://s3-media1.fl.yelpcdn.com/photo/9RgFOHKx0jXWVawTMxo1ww/o.jpg', 'name': 'Ashna M.'}}"
8,"{'id': 'SiVVvV96Tlk-SIi8_p_24Q', 'url': 'https://www.yelp.com/biz/caffe-delhi-denville?adjust_creative=istl9jgw2i0Hp64EIdomvQ&hrid=SiVVvV96Tlk-SIi8_p_24Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=istl9jgw2i0Hp64EIdomvQ', 'text': 'Last night I treated myself to the saag paneer and garlic Naan and have to say this place makes the best saag paneer that I have ever eaten. What I can not...', 'rating': 5, 'time_created': '2024-08-05 07:20:31', 'user': {'id': 'nt3a1bWjGVhuqZq-OyXlbA', 'profile_url': 'https://www.yelp.com/user_details?userid=nt3a1bWjGVhuqZq-OyXlbA', 'image_url': 'https://s3-media2.fl.yelpcdn.com/photo/ru5sdfhaKxB2FJFDAXNpiw/o.jpg', 'name': 'Dennis H.'}}","{'id': 'xS2YTOYkjSPTNh_12tUwAA', 'url': 'https://www.yelp.com/biz/caffe-delhi-denville?adjust_creative=istl9jgw2i0Hp64EIdomvQ&hrid=xS2YTOYkjSPTNh_12tUwAA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=istl9jgw2i0Hp64EIdomvQ', 'text': 'Wow. It was real bad.\nTandori chicken tasted like it was dyed in red and boiled. Zero flavor.   Made me think if I had worse tasting tandori chicken before...', 'rating': 1, 'time_created': '2024-09-27 17:57:08', 'user': {'id': 'ZaZf73R8xWgIsdbbMARLgg', 'profile_url': 'https://www.yelp.com/user_details?userid=ZaZf73R8xWgIsdbbMARLgg', 'image_url': 'https://s3-media1.fl.yelpcdn.com/photo/QdDqK2xqe0JAJFF03azv-w/o.jpg', 'name': 'Bunyamin A.'}}","{'id': 'NuR-YlJ9g62LtQ2r8TgHnQ', 'url': 'https://www.yelp.com/biz/caffe-delhi-denville?adjust_creative=istl9jgw2i0Hp64EIdomvQ&hrid=NuR-YlJ9g62LtQ2r8TgHnQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=istl9jgw2i0Hp64EIdomvQ', 'text': ""Don't recommend this.\n\nReally miss the prior owner and chef.\nWe ordered chicken Tikka masala and got a severely dyed red food coloring curry that was..."", 'rating': 1, 'time_created': '2024-11-22 16:29:49', 'user': {'id': 'yRCFrJXqlTbW2H302wjBDQ', 'profile_url': 'https://www.yelp.com/user_details?userid=yRCFrJXqlTbW2H302wjBDQ', 'image_url': None, 'name': 'J S.'}}"
9,"{'id': 'R2fF-XJGnZcfMz2AZQ4g8w', 'url': 'https://www.yelp.com/biz/mehndi-morristown-10?adjust_creative=istl9jgw2i0Hp64EIdomvQ&hrid=R2fF-XJGnZcfMz2AZQ4g8w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=istl9jgw2i0Hp64EIdomvQ', 'text': ""Our fav for the last three decades of its owner's presence in our neighborhood and community. Awesome service, finger licking good food, and second to none..."", 'rating': 5, 'time_created': '2024-09-14 13:05:15', 'user': {'id': '_PTZbRCexPl7Jlp5rYMmyw', 'profile_url': 'https://www.yelp.com/user_details?userid=_PTZbRCexPl7Jlp5rYMmyw', 'image_url': None, 'name': 'Swami S.'}}","{'id': 'tUfqfQH0YIjXCNizg0yZrQ', 'url': 'https://www.yelp.com/biz/mehndi-morristown-10?adjust_creative=istl9jgw2i0Hp64EIdomvQ&hrid=tUfqfQH0YIjXCNizg0yZrQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=istl9jgw2i0Hp64EIdomvQ', 'text': 'Me and wife arrived promptly at 5:15 on a Saturday and we were the only ones in the restaurant. Needless to say service was impeccable. The food was good...', 'rating': 4, 'time_created': '2024-10-27 04:59:29', 'user': {'id': 'daNWpbya0joUL3hF12lqpw', 'profile_url': 'https://www.yelp.com/user_details?userid=daNWpbya0joUL3hF12lqpw', 'image_url': 'https://s3-media4.fl.yelpcdn.com/photo/0cb61Hg0YRyZJeGfDhvHTg/o.jpg', 'name': 'Kevin L.'}}","{'id': 'HB_CqWzVj5_vxX9OCI_UEg', 'url': 'https://www.yelp.com/biz/mehndi-morristown-10?adjust_creative=istl9jgw2i0Hp64EIdomvQ&hrid=HB_CqWzVj5_vxX9OCI_UEg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=istl9jgw2i0Hp64EIdomvQ', 'text': 'Mehndi can have a lot going for it (i.e.  taste and environment), but unfortunately lacks in some key areas. The food itself truly is tasty and also around...', 'rating': 3, 'time_created': '2023-12-08 20:07:52', 'user': {'id': 'W_DUeqT68XobhXiR1BTDEw', 'profile_url': 'https://www.yelp.com/user_details?userid=W_DUeqT68XobhXiR1BTDEw', 'image_url': 'https://s3-media3.fl.yelpcdn.com/photo/mrbk8c3Bq-Q15c5A2KFutQ/o.jpg', 'name': 'Nibuz E.'}}"
